vaucher;site;ng/ul;lat;lon;collector
106720;Boticos, Abela, Santiago do Cacém, Setúbal, PT;46;38.00563;-8.50077;PC 471
106721;Boticos, Abela, Santiago do Cacém, Setúbal, PT;;38.00563;-8.50077;PC 472
106741;Évora, Évora, PT;0;38.57143;-7.9135;PC 492
106806;Burguillos del Cerro, Badajoz, ES;175;38.40445;-6.59969;PC 557
106809;Burguillos del Cerro, Badajoz, ES;;38.40445;-6.59969;PC 560
106834;Don Benito, Badajoz, ES;44;38.95446;-5.86189;PC 585
106836;Don Benito, Badajoz, ES;36;38.95446;-5.86189;PC 587
106837;Don Benito, Badajoz, ES;;38.95446;-5.86189;PC 588
106838;Don Benito, Badajoz, ES;;38.95446;-5.86189;PC 589
106854;Aldeaseca de Alba, Salamanca, ES;603;40.81898;-5.44764;PC 605
108541;Aldeaseca de Alba, Salamanca, ES;603;40.81898;-5.44764;108541
106855;Aldeaseca de Alba, Salamanca, ES;524;40.81898;-5.44764;PC 606
106856;Aldeaseca de Alba, Salamanca, ES;;40.81898;-5.44764;PC 607
106857;Aldeaseca de Alba, Salamanca, ES;;40.81898;-5.44764;PC 608
106876;Menasalbas, Toledo, ES;;39.64141;-4.28334;PC 627
106877;Menasalbas, Toledo, ES;63;39.64141;-4.28334;PC 628
106878;Menasalbas, Toledo, ES;81;39.64141;-4.28334;PC 629
106879;Menasalbas, Toledo, ES;116;39.64141;-4.28334;PC 630
106899;Malagón, Cuidad Real, ES;52;39.1668;-3.85313;PC 650
106900;Malagón, Cuidad Real, ES;133;39.1668;-3.85313;PC 651
106901;Malagón, Cuidad Real, ES;;39.1668;-3.85313;PC 652
106902;Malagón, Cuidad Real, ES;39;39.1668;-3.85313;PC 653
106907;Carpio de Azaba, Salamanca, ES;;40.59637;-6.6471;PC 658
106908;Carpio de Azaba, Salamanca, ES;55;40.59637;-6.6471;PC 659
106909;Carpio de Azaba, Salamanca, ES;54;40.59637;-6.6471;PC 660
106910;Carpio de Azaba, Salamanca, ES;;40.59637;-6.6471;PC 661
106928;Paramos, Espinho, Aveiro, PT;60;40.9725;-8.62603;PC 679
106929;Paramos, Espinho, Aveiro, PT;29;40.9725;-8.62603;PC 680
106930;Paramos, Espinho, Aveiro, PT;40;40.9725;-8.62603;PC 681
106931;Paramos, Espinho, Aveiro, PT;;40.9725;-8.62603;PC 682
106949;Doñana, Almonte, Huelva, ES;57;37.04272;-6.43444;PC 700
106950;Doñana, Almonte, Huelva, ES;94;37.04272;-6.43444;PC 701
106951;Doñana, Almonte, Huelva, ES;164;37.04272;-6.43444;PC 702
106952;Doñana, Almonte, Huelva, ES;;37.04272;-6.43444;PC 703
106970;O Grove, Pontevedra, ES;36;42.49599;-8.86514;PC 721
106971;O Grove, Pontevedra, ES;145;42.49599;-8.86514;PC 722
106972;O Grove, Pontevedra, ES;63;42.49599;-8.86514;PC 723
106973;O Grove, Pontevedra, ES;;42.49599;-8.86514;PC 724
106986;Redondo, Évora, PT;74;38.649;-7.54365;PC 737
106987;Redondo, Évora, PT;83;38.649;-7.54365;PC 738
106988;Redondo, Évora, PT;75;38.649;-7.54365;PC 739
106989;Redondo, Évora, PT;;38.649;-7.54365;PC 740
107006;Faro, Faro, PT;51;37.01935;-7.93043;PC 757
107007;Faro, Faro, PT;86;37.01935;-7.93043;PC 758
107008;Faro, Faro, PT;68;37.01935;-7.93043;PC 759
107009;Faro, Faro, PT;;37.01935;-7.93043;PC 760
107027;Malpartida de Cáceres, Cáceres, ES;32;39.4518;-6.4797;PC 778
107028;Malpartida de Cáceres, Cáceres, ES;3;39.4518;-6.4797;PC 779
107029;Malpartida de Cáceres, Cáceres, ES;81;39.4518;-6.4797;PC 780
107030;Malpartida de Cáceres, Cáceres, ES;;39.4518;-6.4797;PC 781
107048;Tocha, Cantanhede, Coimbra, PT;;40.32223;-8.77014;PC 799
107049;Tocha, Cantanhede, Coimbra, PT;94;40.32223;-8.77014;PC 800
107050;Tocha, Cantanhede, Coimbra, PT;171;40.32223;-8.77014;PC 801
107051;Tocha, Cantanhede, Coimbra, PT;;40.32223;-8.77014;PC 802
107052;Tocha, Cantanhede, Coimbra, PT;;40.32223;-8.77014;PC 803
107057;Valencia de Alcántara, Cáceres, ES;98;39.4125;-7.2429;PC 808
107058;Valencia de Alcántara, Cáceres, ES;196;39.4125;-7.2429;PC 809
107059;Valencia de Alcántara, Cáceres, ES;;39.4125;-7.2429;PC 810
107060;Valencia de Alcántara, Cáceres, ES;;39.4125;-7.2429;PC 811
107070;Noviercas, Soria, ES;72;41.71161;-2.03344;PC 821
107071;Noviercas, Soria, ES;88;41.71161;-2.03344;PC 822
107072;Noviercas, Soria, ES;100;41.71161;-2.03344;PC 823
107073;Noviercas, Soria, ES;;41.71161;-2.03344;PC 824
107086;Fuendetodos, Zaragoza, ES;;41.34334;-0.95936;PC 837
107087;Fuendetodos, Zaragoza, ES;;41.34334;-0.95936;PC 838
107088;Fuendetodos, Zaragoza, ES;36;41.34334;-0.95936;PC 839
107089;Fuendetodos, Zaragoza, ES;;41.34334;-0.95936;PC 840
107094;Lleida, Lleida, ES;;41.61758;0.62001;PC 845
107095;Lleida, Lleida, ES;62;41.61758;0.62001;PC 846
107096;Lleida, Lleida, ES;;41.61758;0.62001;PC 847
107097;Lleida, Lleida, ES;50;41.61758;0.62001;PC 848
107114;Riudarenes, Girona, ES;123;41.82664;2.71386;PC 865
107115;Riudarenes, Girona, ES;76;41.82664;2.71386;PC 866
107116;Riudarenes, Girona, ES;;41.82664;2.71386;PC 867
107117;Riudarenes, Girona, ES;;41.82664;2.71386;PC 868
107134;Montblanc, Hérault, Languedoc-Roussillon, FR;41;43.39706;3.36721;PC 885
107135;Montblanc, Hérault, Languedoc-Roussillon, FR;;43.39706;3.36721;PC 886
107136;Montblanc, Hérault, Languedoc-Roussillon, FR;;43.39706;3.36721;PC 887
107137;Montblanc, Hérault, Languedoc-Roussillon, FR;;43.39706;3.36721;PC 888
107150;Valdemanco, Madrid, ES;160;40.87229;-3.66295;PC 901
107151;Valdemanco, Madrid, ES;91;40.87229;-3.66295;PC 902
107152;Valdemanco, Madrid, ES;;40.87229;-3.66295;PC 903
107154;Valflaunes, Hérault, Languedoc-Roussillon, FR;;43.80017;3.87434;PC 905
107155;Valflaunes, Hérault, Languedoc-Roussillon, FR;;43.80017;3.87434;PC 906
107156;Valflaunes, Hérault, Languedoc-Roussillon, FR;96;43.80017;3.87434;PC 907
107157;Valflaunes, Hérault, Languedoc-Roussillon, FR;122;43.80017;3.87434;PC 908
107175;Tivissa, Tarragona, ES;117;41.04086;0.73308;PC 926
107176;Tivissa, Tarragona, ES;125;41.04086;0.73308;PC 927
107179;Tivissa, Tarragona, ES;136;41.04086;0.73308;PC 930
107180;Tivissa, Tarragona, ES;;41.04086;0.73308;PC 931
107190;Loja, Granada, ES;101;37.16618;-4.14907;PC 941
107191;Loja, Granada, ES;79;37.16618;-4.14907;PC 942
107192;Loja, Granada, ES;133;37.16618;-4.14907;PC 943
107447;Fuendetodos, Zaragoza, ES;136;41.34334;-0.95936;IMS 2294
107448;Fuendetodos, Zaragoza, ES;35;41.34334;-0.95936;IMS 2295
107449;Fuendetodos, Zaragoza, ES;;41.34334;-0.95936;IMS 2296
107472;Montuenga de Soria, Arcos de Jalón, Soria, ES;185;41.22391;-2.21198;IMS 2612
107476;Gárgoles, Cifuentes, Guadalajara, ES;58;40.73233;-2.62575;IMS 2616
107481;Navalmoral de la Mata, Cáceres, ES;;39.89356;-5.53296;IMS 2799
107482;Navalmoral de la Mata, Cáceres, ES;133;39.89356;-5.53296;IMS 2800
107483;Navalmoral de la Mata, Cáceres, ES;47;39.89356;-5.53296;IMS 2801
107484;Navalmoral de la Mata, Cáceres, ES;;39.89356;-5.53296;IMS 2802
107491;Bemposta, Mogadouro, Bragança, PT;20;41.30778;-6.50364;IMS 2811
107492;Bemposta, Mogadouro, Bragança, PT;19;41.30778;-6.50364;IMS 2812
107493;Bemposta, Mogadouro, Bragança, PT;31;41.30778;-6.50364;IMS 2813
107494;Bemposta, Mogadouro, Bragança, PT;188;41.30778;-6.50364;IMS 2814
107504;Pataias, Alcobaça, Leiria, PT;39;39.68321;-9.00184;IMS 2828
107513;Autilla del Pino, Palencia, ES;12;41.99119;-4.63083;IMS 3061
107514;Autilla del Pino, Palencia, ES;52;41.99119;-4.63083;IMS 3062
107518;Autilla del Pino, Palencia, ES;;41.99119;-4.63083;IMS 3066
107519;Autilla del Pino, Palencia, ES;52;41.99119;-4.63083;IMS 3067
107535;Valdunciel, Salamanca, ES;;41.08561;-5.67274;IMS 3083
107536;Valdunciel, Salamanca, ES;;41.08561;-5.67274;IMS 3084
107537;Valdunciel, Salamanca, ES;;41.08561;-5.67274;IMS 3085
107538;Valdunciel, Salamanca, ES;;41.08561;-5.67274;IMS 3086
107545;Valdefinjas, Zamora, ES;;41.45194;-5.45255;IMS 3117
107546;Valdefinjas, Zamora, ES;;41.45194;-5.45255;IMS 3118
107547;Valdefinjas, Zamora, ES;108;41.45194;-5.45255;IMS 3119
107548;Valdefinjas, Zamora, ES;57;41.45194;-5.45255;IMS 3120
107565;Banyeres de Mariola, Alicante, ES;18;38.70338;-0.68679;IMS 3162
107566;Banyeres de Mariola, Alicante, ES;126;38.70338;-0.68679;IMS 3163
107567;Banyeres de Mariola, Alicante, ES;;38.70338;-0.68679;IMS 3164
107568;Banyeres de Mariola, Alicante, ES;;38.70338;-0.68679;IMS 3165
107576;Izagre, León, ES;69;42.22379;-5.25734;IMS 3173
107577;Izagre, León, ES;43;42.22379;-5.25734;IMS 3174
107578;Izagre, León, ES;;42.22379;-5.25734;IMS 3175
107585;Bienservida, Albacete, ES;;38.51707;-2.61086;IMS 3225
107586;Bienservida, Albacete, ES;119;38.51707;-2.61086;IMS 3226
107587;Bienservida, Albacete, ES;65;38.51707;-2.61086;IMS 3227
107589;Bienservida, Albacete, ES;66;38.51707;-2.61086;IMS 3229
107595;Sinarcas, Valencia, ES;55;39.73171;-1.23015;IMS 3329
107596;Sinarcas, Valencia, ES;49;39.73171;-1.23015;IMS 3330
107597;Sinarcas, Valencia, ES;;39.73171;-1.23015;IMS 3331
107598;Sinarcas, Valencia, ES;;39.73171;-1.23015;IMS 3332
107615;Los Palancares, Cuenca, ES;63;40.03127;-2.00559;IMS 3349
107616;Los Palancares, Cuenca, ES;;40.03127;-2.00559;IMS 3350
107617;Los Palancares, Cuenca, ES;98;40.03127;-2.00559;IMS 3351
107635;Cabezarrubias del Puerto, Cuidad Real, ES;6;38.6155;-4.18395;IMS 3419
107636;Cabezarrubias del Puerto, Cuidad Real, ES;3;38.6155;-4.18395;IMS 3420
107651;Arnedo, La Rioja, ES;;42.22567;-2.10207;IMS 3886
107652;Arnedo, La Rioja, ES;;42.22567;-2.10207;IMS 3887
107653;Arnedo, La Rioja, ES;125;42.22567;-2.10207;IMS 3888
107655;Arnedo, La Rioja, ES;64;42.22567;-2.10207;IMS 3890
107661;Cabanillas, Navarra, ES;;42.03221;-1.52449;IMS 3896
107662;Cabanillas, Navarra, ES;;42.03221;-1.52449;IMS 3897
107663;Cabanillas, Navarra, ES;193;42.03221;-1.52449;IMS 3898
107664;Cabanillas, Navarra, ES;161;42.03221;-1.52449;IMS 3899
107681;Plage Biscarrose, Landes, Aquitaine, FR;;44.44636;-1.24655;IMS 3979
107682;Plage Biscarrose, Landes, Aquitaine, FR;80;44.44636;-1.24655;IMS 3980
107683;Plage Biscarrose, Landes, Aquitaine, FR;52;44.44636;-1.24655;IMS 3981
107684;Plage Biscarrose, Landes, Aquitaine, FR;47;44.44636;-1.24655;IMS 3982
107703;Villamayor de los Montes, Burgos, ES;84;42.10615;-3.76573;IMS 4045
107704;Villamayor de los Montes, Burgos, ES;;42.10615;-3.76573;IMS 4046
107705;Villamayor de los Montes, Burgos, ES;78;42.10615;-3.76573;IMS 4047
107706;Villamayor de los Montes, Burgos, ES;;42.10615;-3.76573;IMS 4048
107714;Boceguillas, Segovia, ES;79;41.33695;-3.63888;IMS 4074
107715;Boceguillas, Segovia, ES;101;41.33695;-3.63888;IMS 4075
107716;Boceguillas, Segovia, ES;;41.33695;-3.63888;IMS 4076
107717;Boceguillas, Segovia, ES;;41.33695;-3.63888;IMS 4077
107740;La Porroquia, Lorca, Murcia, ES;74;37.72825;-1.89459;IMS 4385
107741;La Porroquia, Lorca, Murcia, ES;151;37.72825;-1.89459;IMS 4386
107742;La Porroquia, Lorca, Murcia, ES;77;37.72825;-1.89459;IMS 4387
107750;Benalup-Casas Viejas, Cádiz, ES;;36.34318;-5.81664;IMS 4418
109024;Gárgoles, Cifuentes, Guadalajara, ES;68;40.73233;-2.62575;IMS 2626
